token_id	token_text
215139	 బ్లావెట్‌స్కీ
215340	 కారణంగా
215350	 హత్య
215426	 అనేది
215488	 సామ
215506	 కంటే
215566	 నో
215670	 వార్
215782	ృత
215809	ంజ
216068	 తయారు
216226	తున్నాయి
216510	 మేరకు
216589	చిన
216602	్రహ్
217015	 స్టే
217081	ాలంటే
217329	వాన్ని
217367	సాయ
217431	 వాహ
217744	‌లో
217884	ించండి
218379	 కరో
218573	 అందుకు
218665	తిరే
218948	టువంటి
218970	 బహి
219067	ణ్
219261	 చా
219289	 అనంతరం
219402	 చిహ్
219665	 ప్రేమ
219736	ణులు
219878	తుందని
219948	 రంగ
219970	 చివరి
219989	 కేసులు
220009	 తు
220012	న్లు
220033	 నాలుగు
220175	వేయ
220263	ప్రదేశ్
220600	 ఏమి
220841	 పథ
220874	ెంట్‌
221000	 ఆట
221356	దవ
221377	 షో
221404	 సంత
221469	 చేశాడు
221520	 అతను
221625	 విధాన
221667	డవ
221983	పార్
222126	మర్శ
222422	 చేస్తే
222471	టానికి
222480	ప్పి
222517	కోవడం
222720	 తీసుకొ
222805	 చూపు
222852	సరం
222951	 మహా
223189	ాల్సిన
223434	 పరిష్
223581	దారి
223878	 ఘటన
223904	తిక
224142	 వలన
224219	 వీరి
224281	 ఇటీవల
224378	 తల్లి
224380	 ప్రశ్న
224391	 చేరు
224497	 ముందుకు
224505	 సమీ
224617	్రో
224668	టై
224688	 ప్రీ
224835	య్యా
224846	పం
224870	 వివిధ
224885	ందూ
